@relation GENERATED
@attribute X numeric
@attribute Y numeric
@attribute D {1,2}
@data
312.74110302329063,179.17799352630516,1
-224.75889697670937,-107.48867314036146,1
205.24110302329063,-203.044228695917,1
-9.758896976709366,370.28910463741613,1
420.24110302329063,83.62243797074954,1
-419.60264697670937,-298.59978425147256,1
10.397353023290634,274.73354908186053,1
225.39735302329063,-404.77262375764536,1
-312.10264697670937,168.5607095756878,1
332.89735302329063,359.6718206867989,1
-365.85264697670937,73.00515402013231,1
64.14735302329063,-309.2170682020899,1
-150.85264697670937,264.1162651312433,1
279.14735302329063,-22.550401535423187,1
-258.35264697670937,-341.06892005394167,1
171.64735302329063,232.2644132793915,1
386.64735302329063,-149.95780894283058,1
-392.72764697670937,423.3755243905026,1
37.272353023290634,136.70885772383602,1
-177.72764697670937,-245.51336449838618,1
252.27235302329063,327.819968834947,1
-285.22764697670937,41.15330216828042,1
144.77235302329063,-372.9207719057935,1
359.77235302329063,-86.25410523912689,1
-338.97764697670937,-181.80966079468243,1
91.02235302329063,391.5236725386507,1
-123.97764697670937,104.85700587198411,1
306.02235302329063,-277.365216350238,1
-231.47764697670937,295.9681169830951,1
198.52235302329063,9.301450316428614,1
-16.477646976709366,-415.38990770826274,1
413.52235302329063,157.9434256250705,1
-406.16514697670937,-128.72324104159603,1
23.834853023290634,-224.27879659715163,1
-191.16514697670937,349.05453673618166,1
238.83485302329063,62.38787006951508,1
-298.66514697670937,-319.83435215270714,1
131.33485302329063,253.4989811806261,1
-83.66514697670937,-33.16768548604047,1
346.33485302329063,-351.686204004559,1
-352.41514697670937,221.64712932877427,1
-137.41514697670937,-160.57509289344787,1
292.58485302329063,412.7582404398853,1
-244.91514697670937,126.09157377321868,1
185.08485302329063,-256.13064844900344,1
-29.915146976709366,317.2026848843297,1
400.08485302329063,30.536018217663084,1
-379.29014697670937,-383.53805585641084,1
50.709853023290634,189.79527747692248,1
-164.29014697670937,-96.87138918974418,1
-271.79014697670937,380.9063885880335,1
-56.790146976709366,-287.9825003008553,1
373.20985302329063,285.3508330324779,1
104.45985302329063,-427.18688987561524,1
-110.54014697670937,146.14644345771802,1
319.45985302329063,-140.52022320894852,1
-218.04014697670937,-236.07577876450418,1
211.95985302329063,337.2575545688291,1
426.95985302329063,-331.6313343200597,1
-428.00108447670937,241.70199901327354,1
-213.00108447670937,-363.48318617191154,1
216.99891552329063,209.85014716142175,1
-320.50108447670937,-76.81651950524483,1
109.49891552329063,-172.37207506080037,1
-105.50108447670937,400.96125827253286,1
324.49891552329063,114.29459160586623,1
-374.25108447670937,-267.92763061635594,1
55.748915523290634,305.40570271697726,1
270.74891552329063,-395.3350380237634,1
-266.75108447670937,177.99829530956993,1
378.24891552329063,369.10940642068095,1
-401.12608447670937,82.44273975401434,1
28.873915523290634,-299.77948246820785,1
-186.12608447670937,273.55385086512536,1
243.87391552329063,-13.112815801541121,1
-293.62608447670937,-405.95232197438065,1
136.37391552329063,167.3810113589526,1
351.37391552329063,-214.84121086326957,1
-347.37608447670937,358.4921224700637,1
-132.37608447670937,-310.3967664188251,1
297.62391552329063,262.9365669145081,1
190.12391552329063,-342.24861827067696,1
-24.876084476709366,231.0847150626563,1
405.12391552329063,-55.58195160401026,1
-414.56358447670937,-151.1375071595658,1
15.436415523290634,422.1958261737674,1
-199.56358447670937,135.5291595071008,1
230.43641552329063,-246.6930627151214,1
-307.06358447670937,326.6402706182118,1
122.93641552329063,39.9736039515452,1
